Herrialdea,Title,Latitude,Longitude,Taldea,Kontaktua,Herria,Arroba,Luzapena
Vizcaya,Mungia,43.35441,-2.846714,EZ,Mungia@altxaburu.eus,Mungia,@,altxaburu.eus
Vizcaya,Munitibar-Arbatzegi Gerrikaitz,43.26533,-2.591845,EZ,Munitibar-Arbatzegi Gerrikaitz@altxaburu.eus,Munitibar-Arbatzegi Gerrikaitz,@,altxaburu.eus
Vizcaya,Murueta,43.35446,-2.684153,EZ,Murueta@altxaburu.eus,Murueta,@,altxaburu.eus
Vizcaya,Muskiz,43.31667,-3.116667,EZ,Muskiz@altxaburu.eus,Muskiz,@,altxaburu.eus
Vizcaya,Muxika,43.28967,-2.692941,EZ,Muxika@altxaburu.eus,Muxika,@,altxaburu.eus
Vizcaya,Nabarniz,43.3216,-2.5844,EZ,Nabarniz@altxaburu.eus,Nabarniz,@,altxaburu.eus
Vizcaya,Ondarroa,43.3207,-2.420475,EZ,Ondarroa@altxaburu.eus,Ondarroa,@,altxaburu.eus
Vizcaya,Orozko,43.10861,-2.911111,EZ,Orozko@altxaburu.eus,Orozko,@,altxaburu.eus
Vizcaya,Ortuella,43.31137,-3.055952,EZ,Ortuella@altxaburu.eus,Ortuella,@,altxaburu.eus
Vizcaya,Otxandio,43.04045,-2.654584,EZ,Otxandio@altxaburu.eus,Otxandio,@,altxaburu.eus
Vizcaya,Plentzia,43.40443,-2.950102,EZ,Plentzia@altxaburu.eus,Plentzia,@,altxaburu.eus
Vizcaya,Portugalete,43.32066,-3.020252,EZ,Portugalete@altxaburu.eus,Portugalete,@,altxaburu.eus
Vizcaya,Santurtzi,43.32871,-3.031772,EZ,Santurtzi@altxaburu.eus,Santurtzi,@,altxaburu.eus
Vizcaya,Sestao,43.30964,-3.00694,EZ,Sestao@altxaburu.eus,Sestao,@,altxaburu.eus
Vizcaya,Sondika,43.30047,-2.924341,EZ,Sondika@altxaburu.eus,Sondika,@,altxaburu.eus
Vizcaya,Sopelana,43.37892,-2.983002,EZ,Sopelana@altxaburu.eus,Sopelana,@,altxaburu.eus
Vizcaya,Sopuerta,43.26278,-3.1525,EZ,Sopuerta@altxaburu.eus,Sopuerta,@,altxaburu.eus
Vizcaya,Sukarrieta,43.39534,-2.696367,EZ,Sukarrieta@altxaburu.eus,Sukarrieta,@,altxaburu.eus
Vizcaya,Trucios-Turtzioz,43.27268,-3.288546,EZ,Trucios-Turtzioz@altxaburu.eus,Trucios-Turtzioz,@,altxaburu.eus
Vizcaya,Ubide,43.02683,-2.688209,EZ,Ubide@altxaburu.eus,Ubide,@,altxaburu.eus
Vizcaya,Ugao-Miraballes,43.17999,-2.902508,EZ,Ugao-Miraballes@altxaburu.eus,Ugao-Miraballes,@,altxaburu.eus
Vizcaya,Urduliz,43.37967,-2.962,EZ,Urduliz@altxaburu.eus,Urduliz,@,altxaburu.eus
Vizcaya,Urduña/Orduña,42.99445,-3.009623,EZ,Urduña/Orduña@altxaburu.eus,Urduña/Orduña,@,altxaburu.eus
Vizcaya,Valle de Trápaga-Trapagaran,43.30311,-3.035548,EZ,Valle de Trápaga-Trapagaran@altxaburu.eus,Valle de Trápaga-Trapagaran,@,altxaburu.eus
Vizcaya,Zaldibar,43.17097,-2.54713,EZ,Zaldibar@altxaburu.eus,Zaldibar,@,altxaburu.eus
Vizcaya,Zalla,43.21401,-3.135223,EZ,Zalla@altxaburu.eus,Zalla,@,altxaburu.eus
Vizcaya,Zamudio,43.28333,-2.866667,EZ,Zamudio@altxaburu.eus,Zamudio,@,altxaburu.eus
Vizcaya,Zaratamo,43.21151,-2.873626,EZ,Zaratamo@altxaburu.eus,Zaratamo,@,altxaburu.eus
Vizcaya,Zeanuri,43.09966,-2.749615,EZ,Zeanuri@altxaburu.eus,Zeanuri,@,altxaburu.eus
Vizcaya,Zeberio,43.15278,-2.852778,EZ,Zeberio@altxaburu.eus,Zeberio,@,altxaburu.eus
Vizcaya,Zierbena,43.34766,-3.086152,EZ,Zierbena@altxaburu.eus,Zierbena,@,altxaburu.eus
Vizcaya,Ziortza-Bolibar,43.24982,-2.550174,EZ,Ziortza-Bolibar@altxaburu.eus,Ziortza-Bolibar,@,altxaburu.eus
